"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","146,740,964","±8,590","146,740,964","(X)"
"        Occupied housing units","132,737,146","±140,273","90.5%","±0.1"
"        Vacant housing units","14,003,818","±145,175","9.5%","±0.1"
"        Homeowner vacancy rate","1.0","±0.1","(X)","(X)"
"        Rental vacancy rate","5.7","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","146,740,964","±8,590","146,740,964","(X)"
"        1-unit, detached","89,646,723","±167,336","61.1%","±0.1"
"        1-unit, attached","9,316,139","±50,435","6.3%","±0.1"
"        2 units","4,724,007","±44,178","3.2%","±0.1"
"        3 or 4 units","6,335,116","±48,425","4.3%","±0.1"
"        5 to 9 units","6,505,738","±54,722","4.4%","±0.1"
"        10 to 19 units","6,278,389","±59,165","4.3%","±0.1"
"        20 or more units","15,795,350","±80,361","10.8%","±0.1"
"        Mobile home","7,939,191","±60,423","5.4%","±0.1"
"        Boat, RV, van, etc.","200,311","±7,840","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","146,740,964","±8,590","146,740,964","(X)"
"        Built 2020 or later","5,967,001","±57,397","4.1%","±0.1"
"        Built 2010 to 2019","14,282,223","±63,223","9.7%","±0.1"
"        Built 2000 to 2009","19,982,040","±66,348","13.6%","±0.1"
"        Built 1990 to 1999","17,382,714","±69,938","11.8%","±0.1"
"        Built 1980 to 1989","18,481,899","±63,887","12.6%","±0.1"
"        Built 1970 to 1979","20,140,923","±80,917","13.7%","±0.1"
"        Built 1960 to 1969","14,113,943","±68,220","9.6%","±0.1"
"        Built 1950 to 1959","13,358,031","±62,729","9.1%","±0.1"
"        Built 1940 to 1949","6,210,969","±44,283","4.2%","±0.1"
"        Built 1939 or earlier","16,821,221","±63,157","11.5%","±0.1"
"ROOMS","","","",""
"    Total housing units","146,740,964","±8,590","146,740,964","(X)"
"        1 room","4,028,918","±50,367","2.7%","±0.1"
"        2 rooms","5,088,700","±43,166","3.5%","±0.1"
"        3 rooms","13,588,194","±86,798","9.3%","±0.1"
"        4 rooms","23,193,423","±92,677","15.8%","±0.1"
"        5 rooms","26,500,783","±93,653","18.1%","±0.1"
